ID_Jogador,Nome Completo,Data de Nascimento,Data de Falecimento,Nacionalidade
5733,Edson Arantes do Nascimento,1940-10-23,2022-12-29,Brasil
5615,Leonardo Lourenço Bastos,1975-07-06,N/A,Brasil
119440,Edivaldo de Oliveira Chaves,1958-08-04,N/A,Brasil
8006,Renato Dirnei Florêncio,1979-05-15,N/A,Brasil
458022,Paulo César Araújo,1934-10-07,1991-04-04,Brasil
5140,Fábio Costa,1977-11-27,N/A,Brasil
535808,Abel Verônico da Silva Filho,1941-10-02,N/A,Brasil
5624,Elano Ralph Blumer,1981-06-14,N/A,Brasil
199750,Gilberto Ferreira da Silva,1951-09-18,N/A,Brasil
71176,Marcos Rogério Ricci Lopes,1986-02-14,N/A,Brasil
195148,Álvaro José Rodrígues Valente,1931-09-24,1991-09-21,Brasil
138080,Alison Lopes Ferreira,1993-03-01,N/A,Brasil
119683,Agustín Mário Cejas,1945-03-22,2015-08-14,Argentina
32404,Marcos Arouca da Silva,1986-08-11,N/A,Brasil
149338,Victor Ferraz Macedo,1988-01-14,N/A,Brasil
241983,Jean Mota Oliveira de Sousa,1993-10-15,N/A,Brasil
250667,Lucas Rafael Araújo Lima,1990-07-09,N/A,Brasil
58302,Vanderlei Farias da Silva,1984-02-01,N/A,Brasil
195141,Ramiro Rodrigues Valente,1933-02-11,N/A,Brasil
4692,Robson de Souza,1984-01-25,N/A,Brasil
32434,Severino dos Ramos Durval da Silva,1980-09-11,N/A,Brasil
5626,Narciso dos Santos,1973-12-23,N/A,Brasil
54814,Neymar da Silva Santos Júnior,1992-02-05,N/A,Brasil
58890,Robert da Silva Almeida,1971-04-03,N/A,Brasil
25999,Antonio Wilson Vieira Honorio,1943-06-11,2019-03-11,Brasil
374184,João Paulo Silva Martins,1995-06-29,N/A,Brasil
235633,Nelson Baptista Júnior,1950-07-22,N/A,Brasil
5306,Eduardo Luís Abonizio Souza,1981-05-18,N/A,Brasil
250170,Diego Cristiano Evaristo,1992-08-15,N/A,Brasil
9844,Carlos César Sampaio Campos,1968-03-31,N/A,Brasil
32246,David Braz de Oliveira Filho,1987-05-21,N/A,Brasil
217334,Gustavo Henrique Vernes,1993-03-24,N/A,Brasil
167169,Rubens Barbosa de Souza,1967-07-05,N/A,Brasil
549256,Felipe Jonatan Rocha Andrade,1998-02-15,N/A,Brasil
75171,Gabriel Barbosa Almeida,1996-08-30,N/A,Brasil
560092,Lucas Braga Ribeiro,1996-11-10,N/A,Brasil
84498,Natanael dos Santos Macedo,1969-12-16,N/A,Brasil
167369,Alexandre Tadeu Gallo,1967-05-29,N/A,Brasil
5619,André Luís Garcia,1979-07-31,N/A,Brasil
97976,Rafael Cabral Barbosa,1990-05-20,N/A,Brasil
491981,Lucas Veríssimo da Silva,1995-07-02,N/A,Brasil
32215,Adriano Bispo dos Santos,1987-05-29,N/A,Brasil
130290,Ivanilton Sérgio Guedes,1962-11-07,N/A,Brasil
289107,Aílton Lira da Silva,1951-02-19,N/A,Brasil
20479,Sérgio Bernardino,1953-12-23,N/A,Brasil
57846,Armelino Donizetti Quagliato,1965-01-10,N/A,Brasil
4546,Kléber de Carvalho Corrêa,1980-04-01,N/A,Brasil
398640,Emmanuele Del Vecchio,1934-09-24,1995-10-07,Brasil
9946,Domingos Nascimento dos Santos Filho,1985-12-12,N/A,Brasil
26349,Jonas Eduardo Américo,1949-08-06,N/A,Brasil
1098,Ricardo de Oliveira,1980-05-06,N/A,Brasil
250387,Luiz Felipe Nascimento dos Santos,1993-09-09,N/A,Brasil
87810,Almir de Souza Fraga,1969-03-26,N/A,Brasil
