id,nome,nascimento,falecimento,nacionalidade,naturalidade,aposentado
1,José Marçal Filho,-,,Brasil,,1
2,Juan de la Pasión Artes,-,,Brasil,,1
3,Valquir Pimentel,-,,Brasil,,1
4,José Aldo Pereira,-,,Brasil,,1
5,Emidio Marques de Mesquita,20/03/1944,,Brasil,,1
6,Arnaldo David Cezar Coelho,15/01/1943,,Brasil,Rio de Janeiro,1
7,José Faville Neto,-,,Brasil,São Paulo,1
8,Dulcídio Wanderley Boschilia,21/04/1905,14/05/1998,Brasil,,1
9,Oscar Scolfaro,20/04/1905,09/09/2017,Brasil,,1
10,Romualdo Arppi Filho,07/01/1939,05/03/2023,Brasil,Santos ,1
11,José Luis Barreto,-,,Brasil,,1
12,Luis Carlos Félix Ferreira,11/05/1940,,Brasil,Rio de Janeiro,1
13,Garibaldo Matos,-,,Brasil,,1
14,Sebastião Rufino Ribeiro,-,,Brasil,,1
15,Agomar Martins Röhrig,23/03/1931,,Brasil,,1
16,José Mário Vinhas,-,,Brasil,,0
17,Manoel Amaro de Lima,05/10/1946,09/05/2009,Brasil,Murici,1
18,Joaquim Gonçalves Da Silva,-,,Brasil,,1
19,José Carlos Cavalheiro de Moraes,17/04/1905,03/06/2011,Brasil,,1
20,Armando Nunes Castanheira da Rosa Marques,06/03/1930,,Brasil,Rio de Janeiro,1
21,Nivaldo dos Santos,-,,Brasil,,122,Maurílio José Santiago,-,,Brasil,,1
23,Emidio Marques de Mesquita,1944-03-20,,Brasil,,1
24,Romualdo Arppi Filho,1939-01-07,Falecido,Brasil,Santos - S. Paulo,1
