partida_id,treinador_id,clube_id,tipo
1,1,1,Titular
1,2,2,Titular
2,3,3,Titular
2,4,4,Titular
3,5,5,Titular
3,6,6,Titular
4,7,7,Titular
4,8,8,Titular
5,9,9,Titular
5,10,10,Titular
6,11,11,Titular
6,,12,
7,12,13,Titular
7,13,14,Titular
8,14,15,Titular
8,15,16,Titular
9,16,17,Titular
9,17,18,Titular
10,18,19,Titular
10,19,20,Titular
11,9,9,Titular
11,2,2,Titular
12,1,1,Titular
12,10,10,Titular
13,6,6,Titular
13,20,12,Titular
14,16,17,Titular
14,8,8,Titular
15,19,20,Titular
15,15,16,Titular
16,7,7,Titular
16,17,18,Titular
17,4,4,Titular
17,6,6,Titular
18,20,12,Titular
18,3,3,Titular
19,5,10,Titular
19,10,5,Titular
20,2,2,Titular
20,11,11,Titular
21,19,20,Titular
21,12,13,Titular
22,1,1,Titular
22,9,9,Titular
23,,17,
23,,7,
24,13,14,Titular
24,17,18,Titular
25,8,8,Titular
25,14,15,Titular
26,18,19,Titular
26,15,16,Titular
27,4,4,Titular
27,20,12,Titular
28,,2,
28,,5,
29,,14,
29,,19,
30,,1,
30,11,11,Titular
31,,17,
31,,14,
32,,19,
32,,7,
33,10,10,Titular
33,3,3,Titular
34,,6,
34,,8,
35,,13,
35,,15,
36,2,2,Titular
36,6,6,Titular
37,20,12,Titular
37,5,5,Titular
38,,9,
38,11,11,Titular
39,17,18,Titular
39,15,16,Titular
40,,15,
40,,20,
41,,19,
41,,13,
42,,7,
42,,14,
43,3,3,Titular
43,,1,
44,20,12,Titular
44,9,9,Titular
45,5,5,Titular
45,4,4,Titular
46,,10,
46,,6,
47,,8,
47,,16,
48,9,9,Titular
48,3,3,Titular
49,,1,
49,,4,
50,,19,
50,,18,
51,11,11,Titular
51,10,10,Titular
52,,13,
52,,16,
53,,7,
53,,15,
54,,20,
54,,17,
55,,14,
55,,8,
56,3,3,Titular
56,11,11,Titular
57,,6,
57,,1,
58,,12,
58,,2,
59,,18,
59,,13,
60,,7,
60,,20,
61,,17,
61,,15,
62,,16,
62,,14,
63,9,9,Titular
63,5,5,Titular
64,,4,
64,,10,
65,,20,
65,,18,
66,,15,
66,,14,
67,3,3,Titular
67,2,2,Titular
68,,1,
68,5,5,Titular
69,,10,
69,,12,
70,,9,
70,,6,
71,11,11,Titular
71,,4,
72,,13,
72,,8,
73,,19,
73,,17,
74,,18,
74,,15,
75,6,6,Titular
75,3,3,Titular
76,,17,
76,,13,
77,,7,
77,,16,
78,,8,
78,,19,
79,,5,
79,11,11,Titular
80,2,2,Titular
80,4,4,Titular
81,,8,
81,,18,
82,,19,
82,,15,
83,,17,
83,,16,
84,,14,
84,,20,
85,,7,
85,,13,
86,,9,
86,,4,
87,10,10,Titular
87,2,2,Titular
88,20,12,Titular
88,1,1,Titular
89,3,3,Titular
89,5,5,Titular
90,11,11,Titular
90,,6,
91,2,2,Titular
91,15,16,Titular
92,,9,
92,,8,
93,,18,
93,11,11,Titular
94,,15,
94,,10,
95,7,7,Titular
95,5,5,Titular
96,18,19,Titular
96,20,12,Titular
97,,20,
97,,1,
98,,14,
98,,6,
99,,13,
99,,4,
100,16,17,Titular
100,3,3,Titular
101,8,8,Titular
101,3,3,Titular
102,,10,
102,,19,
103,3,3,Titular
103,7,7,Titular
104,20,12,Titular
104,,17,
105,,16,
105,,6,
106,,9,
106,,18,
107,,4,
107,,15,
108,,13,
108,,2,
109,13,14,Titular
109,5,5,Titular
110,,1,
110,,8,
111,11,11,Titular
111,,20,
112,,6,
112,,20,
113,,13,
113,,6,
114,,8,
114,,4,
115,,17,
115,11,11,Titular
116,19,20,Titular
116,2,2,Titular
117,14,15,Titular
117,5,5,Titular
118,,10,
118,,18,
119,20,12,Titular
119,21,16,Titular
120,18,19,Titular
120,3,3,Titular
121,,9,
121,,14,
122,1,1,Titular
122,7,7,Titular
123,11,11,Titular
123,,13,
124,7,7,Titular
124,20,12,Titular
125,22,18,Titular
125,23,4,Titular
126,,4,
126,,7,
127,5,5,Titular
127,8,8,Titular
128,,9,
128,,15,
129,,14,
129,,10,
130,3,3,Titular
130,19,20,Titular
131,,17,
131,,2,
132,20,12,Titular
132,22,18,Titular
133,11,11,Titular
133,,16,
134,,1,
134,,13,
135,,19,
135,,6,
136,,4,
136,,19,
137,,10,
137,,16,
138,13,14,Titular
138,3,3,Titular
139,,15,
139,,2,
140,,7,
140,,10,
141,12,13,Titular
141,20,12,Titular
142,24,11,Titular
142,,8,
143,22,18,Titular
143,6,6,Titular
144,,19,
144,,1,
145,,20,
145,,9,
146,,17,
146,5,5,Titular
147,,9,
147,,19,
148,1,1,Titular
148,,17,
149,24,11,Titular
149,,15,
150,3,3,Titular
150,21,16,Titular
151,5,5,Titular
151,12,13,Titular
152,,10,
152,,8,
153,,12,
153,,14,
154,,9,
154,,7,
155,,17,
155,6,6,Titular
156,,20,
156,,4,
157,,2,
157,,18,
158,21,16,Titular
158,5,5,Titular
159,,19,
159,,2,
160,,14,
160,,4,
161,,8,
161,,2,
162,,7,
162,24,11,Titular
163,,20,
163,,12,
164,,6,
164,,15,
165,,17,
165,,10,
166,,1,
166,,14,
167,22,18,Titular
167,5,5,Titular
168,,9,
168,,16,
169,3,3,Titular
169,12,13,Titular
170,,13,
170,,9,
171,22,18,Titular
171,3,3,Titular
172,24,11,Titular
172,13,14,Titular
173,,8,
173,,6,
174,,10,
174,,20,
175,,7,
175,,2,
176,20,12,Titular
176,14,15,Titular
177,1,1,Titular
177,21,16,Titular
178,18,19,Titular
178,5,5,Titular
179,,4,
179,,17,
180,14,15,Titular
180,1,1,Titular
181,,14,
181,,2,
182,,16,
182,,4,
183,,13,
183,,10,
184,,19,
184,24,11,Titular
185,,8,
185,,12,
186,3,3,Titular
186,14,15,Titular
187,1,1,Titular
187,22,18,Titular
188,,5,
188,,20,
189,,17,
189,,9,
190,7,7,Titular
190,6,6,Titular
191,,13,
191,,2,
192,14,15,Titular
192,18,19,Titular
193,,6,
193,,20,
194,3,3,Titular
194,22,18,Titular
195,20,12,Titular
195,5,5,Titular
196,24,11,Titular
196,,8,
197,,20,
197,24,11,Titular
198,,8,
198,,6,
199,5,5,Titular
199,11,15,Titular
200,18,19,Titular
200,20,12,Titular
201,,18,
201,12,13,Titular
202,2,2,Titular
202,3,3,Titular
203,24,11,Titular
203,6,6,Titular
204,11,15,Titular
204,20,12,Titular
205,12,13,Titular
205,3,3,Titular
206,18,19,Titular
206,5,5,Titular
207,,18,
207,,2,
208,,20,
208,,8,
209,24,11,Titular
209,,20,
210,,6,
210,,8,
211,,13,
211,,18,
212,3,3,Titular
212,2,2,Titular
213,11,15,Titular
213,5,5,Titular
214,20,12,Titular
214,18,19,Titular
215,,8,
215,24,11,Titular
216,22,18,Titular
216,3,3,Titular
217,5,5,Titular
217,20,12,Titular
218,18,19,Titular
218,21,15,Titular
219,,2,
219,,13,
220,,20,
220,,6,
221,24,11,Titular
221,,6,
222,,8,
222,,20,
223,,2,
223,,18,
224,3,3,Titular
224,12,13,Titular
225,20,12,Titular
225,11,15,Titular
226,5,5,Titular
226,18,19,Titular
227,3,3,Titular
227,24,11,Titular
228,24,11,Titular
228,5,5,Titular
229,5,5,Titular
229,3,3,Titular
